Tips;R?d?t?js;M?rvien?ba;Augsta;Laba;Vid?ja;Slikta;?oti slikta
1;BSP5;mg/l O2;1,75;2,25;2,75;3,25;3,75
1;N/NH4+;mg/l N;0,075;0,105;0,135;0,165;0,195
1;Nkop;mg/l N;1,25;1,75;2,25;2,75;3,25
1;O2;mg/l O2;9;7;5;3;1
1;Pkops;mg/l P;0,0275;0,0525;0,0775;0,1025;0,1275
2;BSP5;mg/l O2;1,5;2,5;3,5;4,5;5,5
2;N/NH4+;mg/l N;0,06;0,13;0,2;0,28;0,36
2;Nkop;mg/l N;1;2;3;4;5
2;O2;mg/l O2;8;6;4;2;0
2;Pkops;mg/l P;0,0225;0,0675;0,1125;0,1575;0,2025
3;BSP5;mg/l O2;1,75;2,25;2,75;3,25;3,75
3;N/NH4+;mg/l N;0,075;0,105;0,135;0,165;0,195
3;Nkop;mg/l N;1,55;2,05;2,55;3,05;3,55
3;O2;mg/l O2;9;7;5;3;1
3;Pkops;mg/l P;0,0375;0,0625;0,0875;0,1125;0,1375
4;BSP5;mg/l O2;1,5;2,5;3,5;4,5;5,5
4;N/NH4+;mg/l N;0,12;0,2;0,28;0,36;0,44
4;Nkop;mg/l N;1,5;2,5;3,5;4,5;5,5
4;O2;mg/l O2;8;6;4;2;0
4;Pkops;mg/l P;0,0375;0,075;0,1125;0,1575;0,2025
5;BSP5;mg/l O2;1,75;2,25;2,75;3,25;3,75
5;N/NH4+;mg/l N;0,075;0,105;0,135;0,165;0,195
5;Nkop;mg/l N;1,3;2,3;3,3;4,3;5,3
5;O2;mg/l O2;9;7;5;3;1
5;Pkops;mg/l P;0,0275;0,0525;0,0775;0,1025;0,1275
6;BSP5;mg/l O2;1,5;2,5;3,5;4,5;5,5
6;N/NH4+;mg/l N;0,06;0,13;0,2;0,28;0,36
6;Nkop;mg/l N;1,3;2,3;3,3;4,3;5,3
6;O2;mg/l O2;8;6;4;2;0
6;Pkops;mg/l P;0,0225;0,0675;0,1125;0,1575;0,2025
7;BSP5;mg/l O2;1,5;2,5;3,5;4,5;5,5
7;N/NH4+;mg/l N;0,06;0,13;0,2;0,28;0,36
7;Nkop;mg/l N;1,3;2,3;3,3;4,3;5,3
7;O2;mg/l O2;8;6;4;2;0
7;Pkops;mg/l P;0,0225;0,0675;0,1125;0,1575;0,2025
