Code,Station_type,"BSP5",N_NH4+,N_total,O_2,P_total
D500,R7,1.53,0.072,1.19,10.3,0.05
"D477SPD
A",R6,1.14,0.024,1.48,9.5,0.041
"D456SPD
A",R6,1.94,0.08,2.01,7.7,0.049
D438DA,R4,1.35,0.073,1.39,10.6,0.043
D406DA,R3,1.17,0.032,1.88,10.9,0.033
D516,R6,1.83,0.071,1.97,9.4,0.037
D459DA,R4,1.31,0.044,1.76,9.3,0.034
D412,R3,1.3,0.034,1.61,9.9,0.03
D401DA,R6,1.58,0.082,1.31,10.8,0.044
D419,R6,1.18,0.024,0.98,10.9,0.028
D478SP,R4,1.3,0.058,1.8,9.7,0.032
D462SP,R6,1.89,0.092,2.15,9.5,0.064
D484DA,R3,0.92,0.013,0.82,10.3,0.017
G264DA,R3,1.58,0.071,2.4,9.0,0.062
"G261SPD
A",R3,1.67,0.105,2.64,11.3,0.081
G321DA,R4,1.35,0.013,1.76,10.0,0.031
G205,R6,1.33,0.032,1.19,10.8,0.039
G201DA,R7,1.15,0.044,1.46,11.0,0.05
G327,R1,1.89,0.143,2.7,7.95,0.074
G305DA,R4,1.2,0.039,1.93,10.6,0.043
G308,R1,1.19,0.047,1.57,10.4,0.055
G281,R1,1.76,0.162,3.44,9.4,0.063
G331,R2,1.18,0.043,1.72,9.9,0.033
G302,R3,1.11,0.018,1.41,11.5,0.024
G313,R4,1.04,0.066,1.58,9.1,0.022
G310,R4,1.12,0.039,2.09,8.9,0.03
G312DA,R4,1.08,0.053,1.92,9.5,0.036
"G303SPD
A",R6,1.46,0.014,1.69,11.0,0.034
G306,R6,1.98,0.042,1.95,8.7,0.05
G301DA,R6,1.45,0.005,1.78,10.2,0.037
G311,R3,1.6,0.033,1.99,9.9,0.025
G316,R4,1.2,0.019,1.45,8.0,0.04
G246,R3,1.49,0.032,1.39,9.7,0.03
G253,R1,1.21,0.036,0.85,11.1,0.033
G242DA,R3,1.59,0.04,1.11,10.6,0.038
L118,R3,1.19,0.054,3.86,10.8,0.042
L117SP,R4,1.56,0.106,6.01,9.9,0.138
L111DA,R4,1.49,0.051,3.44,11.1,0.064
L109DA,R4,1.48,0.043,3.85,11.3,0.055
L110MV,R4,1.48,0.053,4.4,10.6,0.067
L114,R3,2.46,0.113,5.07,10.5,0.086
L177,R4,1.43,0.098,6.77,10.6,0.072
L133,R4,1.09,0.03,1.5,9.8,0.037
L131,R4,1.43,0.126,2.73,9.0,0.085
L130,R6,1.45,0.049,3.0,9.8,0.068
L127DA,R6,1.95,0.128,2.54,8.8,0.082
L153DA,R4,1.63,0.043,8.63,9.4,0.052
L103MV,R4,1.43,0.043,4.66,11.0,0.051
L107,R7,1.35,0.095,5.01,10.1,0.062
L143DA,R7,1.38,0.055,4.65,10.0,0.046
L143DA,R7,1.53,0.064,4.3,10.0,0.069
L100SP,R7,0.95,0.075,3.95,10.2,0.068
L160,R6,1.14,0.021,2.92,10.8,0.036
L159DA,R6,1.2,0.022,3.02,10.9,0.034
L129DA,R4,2.18,0.224,2.7,8.6,0.135
L140,R4,1.12,0.043,2.11,9.8,0.045
L139,R4,1.75,0.221,3.8,6.025,0.105
L129DA,R4,1.82,0.122,2.28,9.2,0.077
L176,R6,1.03,0.023,7.11,12.0,0.041
L176,R6,1.07,0.028,6.89,11.5,0.049
L144SPDA,R4,3.37,0.133,5.38,9.5,0.074
L146,R4,1.65,0.068,8.57,9.8,0.035
L125,R1,1.01,0.041,6.78,9.8,0.022
L148SP,R4,2.08,0.097,7.28,8.2,0.095
L121,R3,1.19,0.071,5.76,10.7,0.035
L123DA,R4,1.26,0.038,7.32,9.5,0.04
L122SP,R3,1.03,0.016,5.28,11.1,0.038
L108SP,R6,1.58,0.092,5.82,10.3,0.07
L149,R4,1.84,0.048,8.75,9.1,0.046
L132,R3,2.17,0.347,3.58,8.5,0.066
L119,R3,0.85,0.029,8.16,11.4,0.027
L120DA,R4,1.24,0.04,6.56,9.8,0.049
L106SP,R4,1.65,0.06,5.46,10.5,0.076
L124,R3,0.99,0.048,8.3,10.6,0.031
L147,R4,2.72,0.134,9.84,10.2,0.131
L141,R3,1.07,0.047,1.54,10.0,0.051
V015DA,R3,1.92,0.078,1.93,10.5,0.041
V035,R3,1.11,0.022,1.63,11.8,0.045
V008,R6,1.01,0.034,2.53,10.6,0.052
V010,R6,0.94,0.037,2.76,10.7,0.055
V054DA,R3,1.01,0.02,1.71,10.5,0.037
V020,R4,1.37,0.074,2.13,9.7,0.043
V076,R4,1.25,0.045,0.88,9.3,0.049
